1.01,79
0.96,77
0.87,66
0.84,66
0.86,69
0.9,75
0.91,81
0.95,71
0.98,71
0.94,71
0.92,78
0.94,78
0.9,57
0.89,52
0.92,52
0.94,46
0.97,57
0.91,65
0.86,77
0.88,66
0.92,66
0.94,77
0.98,73
1,76
1.01,128
0.99,158
0.98,157
1.01,103
1.02,85
1.05,68
1.06,68
1.09,81
1.02,85
1.03,86
1.04,84
1.06,77
1.04,77
1.05,77
1.08,78
1.09,77
1.12,76
1.14,76
1.16,79
1.18,79
1.21,138
1.22,152
1.24,90
1.25,90
1.28,75
1.29,76
1.3,77
1.32,75
1.33,76
1.34,77
1.35,81
1.36,79
1.37,79
1.38,51
1.39,51
1.41,55
1.41,63
1.42,84
1.43,85
1.43,83
1.45,77
1.45,65
1.46,50
1.46,50
1.48,42
1.48,46
1.49,60
1.5,56
1.51,56
1.51,47
1.52,59
1.52,66
1.52,75
1.53,77
1.53,80
1.54,153
1.54,143
1.55,122
1.55,76
1.56,83
1.56,83
1.57,83
1.57,70
1.57,74
1.57,79
1.58,164
1.58,91
1.59,91
1.59,91
1.59,56
1.59,60
1.6,117
1.6,99
1.6,73
1.6,61
1.61,49
1.61,49
1.61,49
1.61,56
1.61,72
1.61,75
1.62,72
1.62,72
1.62,67
1.62,74
1.62,78
1.63,80
1.63,75
1.63,75
1.63,51
1.63,109
