1095.92,1.14,55
1098.92,1.15,62
1101.92,1.16,72
1104.92,1.18,112
1107.92,1.17,103
1110.92,1.16,87
1113.93,1.12,87
1116.93,1.14,55
1119.93,1.15,60
1122.93,1.16,238
1125.93,1.17,206
1128.93,1.19,78
1131.93,1.19,78
1134.93,1.18,78
1137.93,1.18,64
1140.93,1.18,69
1143.94,1.2,79
1146.94,1.2,84
1149.94,1.22,125
1152.94,1.23,101
1155.94,1.24,73
1158.94,1.25,66
1161.94,1.26,238
1164.94,1.27,167
1167.94,1.28,70
1170.94,1.29,69
1173.95,1.3,67
1176.95,1.32,59
1179.95,1.32,59
1182.95,1.33,43
1185.95,1.34,48
1188.95,1.35,65
1191.95,1.35,232
1194.95,1.36,122
1197.95,1.36,97
1200.95,1.36,70
1203.96,1.37,71
1206.96,1.38,75
1209.96,1.38,64
1212.96,1.39,192
1215.96,1.39,133
1218.96,1.4,133
1221.96,1.4,59
1224.96,1.4,64
1227.96,1.4,160
1230.96,1.4,238
1233.97,1.4,150
1236.97,1.4,116
1239.97,1.4,87
1242.97,1.41,87
1245.97,1.41,49
1248.97,1.42,56
1251.97,1.42,56
1254.97,1.42,64
1257.97,1.42,57
1260.97,1.43,57
1263.98,1.43,44
1266.98,1.44,57
1269.98,1.45,64
1272.98,1.46,69
1275.98,1.46,68
1278.98,1.46,71
1281.98,1.47,74
1284.98,1.48,71
1287.98,1.48,71
1290.98,1.48,71
1293.99,1.48,49
1296.99,1.48,49
1299.99,1.49,58
1302.99,1.49,64
1305.99,1.5,67
1308.99,1.5,69
1311.99,1.51,65
1314.99,1.52,67
1317.99,1.52,52
1320.99,1.53,48
1324,1.53,48
1327,1.54,57
1333,1.54,70
1339,1.55,62
1345,1.56,200
1351.01,1.57,76
1357.01,1.57,109
1363.01,1.58,82
